gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,,Random Sampling
male,group B,associate's degree,free/reduced,none,57,56,57,,0.613493706
male,group C,associate's degree,free/reduced,none,55,61,54,,0.193251689
female,group C,associate's degree,standard,none,58,73,68,,0.646801682
female,group B,associate's degree,standard,none,53,58,65,,0.560754484
male,group B,some college,free/reduced,completed,59,65,66,,0.039036008
female,group E,associate's degree,free/reduced,none,50,56,54,,0.057629262
male,group B,associate's degree,standard,none,65,54,57,,0.26539588
female,group A,associate's degree,standard,completed,55,65,62,,0.985001326
female,group C,high school,standard,none,66,71,76,,0.502535797
female,group D,associate's degree,free/reduced,completed,57,74,76,,0.940308535
male,group C,high school,standard,completed,82,84,82,,0.766234139
male,group E,some college,standard,none,53,55,48,,0.233660977
male,group E,associate's degree,free/reduced,completed,77,69,68,,0.818899722
male,group C,some college,standard,none,53,44,42,,0.422627705
male,group D,high school,standard,none,88,78,75,,0.100211791
female,group C,some high school,free/reduced,completed,71,84,87,,0.595382451
female,group C,high school,free/reduced,none,33,41,43,,0.801912947
female,group E,associate's degree,standard,completed,82,85,86,,0.818050748
male,group D,associate's degree,standard,none,52,55,49,,0.139431722
male,group D,some college,standard,completed,58,59,58,,0.729555823
female,group C,some high school,free/reduced,none,0,17,10,,0.901421052
male,group E,bachelor's degree,free/reduced,completed,79,74,72,,0.095549622
male,group A,some high school,free/reduced,none,39,39,34,,0.422323941
male,group A,associate's degree,free/reduced,none,62,61,55,,0.502241339
female,group C,associate's degree,standard,none,69,80,71,,0.015949093
female,group D,some high school,standard,none,59,58,59,,0.599857192
male,group B,some high school,standard,none,67,64,61,,0.57668706
male,group D,some high school,free/reduced,none,45,37,37,,0.851664694
female,group C,some college,standard,none,60,72,74,,0.365468296
male,group B,associate's degree,free/reduced,none,61,58,56,,0.913847465
female,group C,associate's degree,standard,none,39,64,57,,0.882186606
female,group D,some college,free/reduced,completed,58,63,73,,0.066157498
male,group D,some college,standard,completed,63,55,63,,0.054414442
female,group A,associate's degree,free/reduced,none,41,51,48,,0.288153105
male,group C,some high school,free/reduced,none,61,57,56,,0.798884982
male,group C,some high school,standard,none,49,49,41,,0.021032732
male,group B,associate's degree,free/reduced,none,44,41,38,,0.112999655
male,group E,some high school,standard,none,30,26,22,,0.253808998
male,group A,bachelor's degree,standard,completed,80,78,81,,0.969786525
female,group D,some high school,standard,completed,61,74,72,,0.082801695
female,group E,master's degree,standard,none,62,68,68,,0.061617566
female,group B,associate's degree,standard,none,47,49,50,,0.280466084
male,group B,high school,free/reduced,none,49,45,45,,0.336300682
male,group A,some college,free/reduced,completed,50,47,54,,0.475277804
male,group E,associate's degree,standard,none,72,64,63,,0.836343505
male,group D,high school,free/reduced,none,42,39,34,,0.891926988
female,group C,some college,standard,none,73,80,82,,0.140653909
female,group C,some college,free/reduced,none,76,83,88,,0.025337909
female,group D,associate's degree,standard,none,71,71,74,,0.250736629
female,group A,some college,standard,none,58,70,67,,0.457027942
female,group D,some high school,standard,none,73,86,82,,0.045959027
female,group C,bachelor's degree,standard,none,65,72,74,,0.860350657
male,group C,high school,free/reduced,none,27,34,36,,0.951843915
male,group C,high school,standard,none,71,79,71,,0.663816919
male,group C,associate's degree,free/reduced,completed,43,45,50,,0.732377402
female,group B,some college,standard,none,79,86,92,,0.452850714
male,group C,associate's degree,free/reduced,completed,78,81,82,,0.258875812
male,group B,some high school,standard,completed,65,66,62,,0.207518597
female,group E,some college,standard,completed,63,72,70,,0.163637331
female,group D,some college,free/reduced,none,58,67,62,,0.886957194
female,group D,bachelor's degree,standard,none,65,67,62,,0.406841027
male,group B,some college,standard,none,79,67,67,,0.386479149
male,group D,bachelor's degree,standard,completed,68,74,74,,0.789126299
female,group D,associate's degree,standard,none,85,91,89,,0.337768412
male,group B,high school,standard,completed,60,44,47,,0.861064936
male,group C,some college,standard,completed,98,86,90,,0.363330963
female,group C,some college,standard,none,58,67,72,,0.066479796
female,group D,master's degree,standard,none,87,100,100,,0.739438255
male,group E,associate's degree,standard,completed,66,63,64,,0.403975252
female,group B,associate's degree,free/reduced,none,52,76,70,,0.262254036
female,group B,some high school,standard,none,70,64,72,,0.169128964
female,group D,associate's degree,free/reduced,completed,77,89,98,,0.716456335
male,group C,high school,standard,none,62,55,49,,0.737009756
male,group A,associate's degree,standard,none,54,53,47,,0.386838049
female,group D,some college,standard,none,51,58,54,,0.576782665
female,group E,bachelor's degree,standard,completed,99,100,100,,0.427098336
male,group C,high school,standard,none,84,77,74,,0.820970886
female,group B,bachelor's degree,free/reduced,none,75,85,82,,0.143543545
female,group D,bachelor's degree,standard,none,78,82,79,,0.837188663
female,group D,some high school,standard,none,51,63,61,,0.476243369
female,group C,some college,standard,none,55,69,65,,0.182814168
female,group C,bachelor's degree,standard,completed,79,92,89,,0.889706776
male,group B,associate's degree,standard,completed,91,89,92,,0.661045438
female,group C,some college,standard,completed,88,93,93,,0.731399782
male,group D,high school,free/reduced,none,63,57,56,,0.311736444
male,group E,some college,standard,none,83,80,73,,0.646158562
female,group B,high school,standard,none,87,95,86,,0.275762643
male,group B,some high school,standard,none,72,68,67,,0.10726809
male,group D,some college,standard,completed,65,77,74,,0.56931615
male,group D,master's degree,standard,none,82,82,74,,0.094175657
female,group A,bachelor's degree,standard,none,51,49,51,,0.383317867
male,group D,master's degree,standard,none,89,84,82,,0.411643923
male,group C,some high school,free/reduced,completed,53,37,40,,0.506736713
male,group E,some college,free/reduced,completed,87,74,70,,0.821079903
female,group C,some college,standard,completed,75,81,84,,0.229118561
male,group D,bachelor's degree,free/reduced,completed,74,79,75,,0.412549259
male,group C,bachelor's degree,standard,none,58,55,48,,0.016575344
male,group B,some high school,standard,completed,51,54,41,,0.508827286
male,group E,high school,standard,none,70,55,56,,0.677861861
female,group C,associate's degree,standard,none,59,66,67,,0.267379195
male,group D,some college,standard,completed,71,61,69,,0.858589651
female,group D,some high school,standard,none,76,72,71,,0.640667918
female,group C,some college,free/reduced,none,59,62,64,,0.656807093
female,group E,some college,free/reduced,completed,42,55,54,,0.027964187
male,group A,high school,standard,none,57,43,47,,0.796357828
male,group D,some college,standard,none,88,73,78,,0.508993691
female,group C,some college,free/reduced,none,22,39,33,,0.085494866
male,group B,some high school,standard,none,88,84,75,,0.803078433
male,group C,associate's degree,free/reduced,none,73,68,66,,0.715250638
female,group D,bachelor's degree,standard,completed,68,75,81,,0.68251533
male,group E,associate's degree,free/reduced,completed,100,100,93,,0.672899674
male,group A,some high school,standard,completed,62,67,69,,0.69187249
male,group A,bachelor's degree,standard,none,77,67,68,,0.143754899
female,group B,associate's degree,standard,completed,59,70,66,,0.832018621
male,group D,bachelor's degree,standard,none,54,49,47,,0.073578615
male,group D,some high school,standard,none,62,67,61,,0.123395214
female,group C,some college,standard,completed,70,89,88,,0.872911902
female,group E,high school,free/reduced,completed,66,74,78,,0.585508297
male,group B,some college,free/reduced,none,60,60,60,,0.944319235
female,group B,associate's degree,standard,completed,61,86,87,,0.311883758
male,group D,associate's degree,free/reduced,none,66,62,64,,0.440279711
male,group B,associate's degree,free/reduced,completed,82,78,74,,0.225785102
female,group E,some college,free/reduced,completed,75,88,85,,0.575982792
male,group B,master's degree,free/reduced,none,49,53,52,,0.229955374
male,group C,high school,standard,none,52,53,49,,0.63620383
female,group E,master's degree,standard,none,81,92,91,,0.352715906
female,group C,bachelor's degree,standard,completed,96,100,100,,0.961291585
male,group C,high school,free/reduced,completed,53,51,51,,0.404145746
female,group B,master's degree,free/reduced,completed,58,76,78,,0.731841952
female,group B,high school,standard,completed,68,83,78,,0.295842052
female,group C,some college,free/reduced,completed,67,75,70,,0.399866375
male,group A,high school,standard,completed,72,73,74,,0.878115538
male,group E,some high school,standard,none,94,88,78,,0.736161125
female,group D,some college,standard,none,79,86,81,,0.258126706
female,group C,associate's degree,standard,none,63,67,70,,0.729460703
female,group C,bachelor's degree,free/reduced,completed,43,51,54,,0.623502075
female,group C,master's degree,standard,completed,81,91,87,,0.178673616
female,group B,high school,free/reduced,completed,46,54,58,,0.478541254
female,group C,associate's degree,standard,completed,71,77,77,,0.774764693
female,group B,master's degree,free/reduced,completed,52,70,62,,0.334804636
female,group D,some high school,standard,completed,97,100,100,,0.062687814
male,group C,master's degree,free/reduced,completed,62,68,75,,0.438912895
female,group C,some college,free/reduced,none,46,64,66,,0.945045453
female,group E,high school,standard,none,50,50,47,,0.250981827
female,group D,associate's degree,standard,none,65,69,70,,0.878682562
male,group C,some high school,free/reduced,completed,45,52,49,,0.87980358
male,group C,associate's degree,free/reduced,completed,65,67,65,,0.889851084
male,group E,high school,standard,none,80,76,65,,0.162460452
male,group D,some high school,standard,completed,62,66,68,,0.296030392
male,group B,some high school,free/reduced,none,48,52,45,,0.74941222
female,group C,bachelor's degree,standard,none,77,88,87,,0.31566201
female,group E,associate's degree,standard,none,66,65,69,,0.117316216
male,group D,some college,standard,completed,76,83,79,,0.943875661
female,group B,some high school,standard,none,62,64,66,,0.067546019
male,group D,some college,standard,completed,77,62,62,,0.463035268
female,group C,master's degree,standard,completed,69,84,85,,0.746586131
male,group D,associate's degree,standard,none,61,55,52,,0.432107096
male,group C,some high school,free/reduced,completed,59,69,65,,0.286765216
male,group E,high school,free/reduced,none,55,56,51,,0.875128919
female,group B,some college,free/reduced,none,45,53,55,,0.68086927
female,group B,bachelor's degree,free/reduced,none,78,79,76,,0.089698774
female,group C,associate's degree,standard,completed,67,84,86,,0.134966669
female,group D,some college,free/reduced,none,65,81,77,,0.925332072
male,group C,associate's degree,standard,none,69,77,69,,0.817745314
female,group B,associate's degree,standard,none,57,69,68,,0.858734305
male,group C,some college,standard,none,59,41,42,,0.354609164
male,group D,some high school,standard,completed,74,71,78,,0.209601838
male,group E,bachelor's degree,standard,none,82,62,62,,0.515124222
male,group E,high school,standard,completed,81,80,76,,0.331265551
female,group B,some college,free/reduced,none,74,81,76,,0.804902401
female,group B,some college,free/reduced,none,58,61,66,,0.71540325
male,group D,some high school,free/reduced,completed,80,79,79,,0.493009498
male,group C,some college,free/reduced,none,35,28,27,,0.652293734
female,group C,high school,free/reduced,none,42,62,60,,0.835243578
male,group C,associate's degree,free/reduced,completed,60,51,56,,0.325589588
male,group E,high school,standard,completed,87,91,81,,0.279962552
male,group B,some high school,standard,completed,84,83,75,,0.221562468
female,group E,associate's degree,free/reduced,completed,83,86,88,,0.428790448
female,group C,high school,free/reduced,none,34,42,39,,0.613608869
male,group B,high school,free/reduced,none,66,77,70,,0.435153666
male,group B,some high school,standard,completed,61,56,56,,0.797517819
female,group D,high school,standard,completed,56,68,74,,0.892273973
male,group B,associate's degree,standard,none,87,85,73,,0.403559464
female,group C,some high school,free/reduced,none,55,65,62,,0.360237251
male,group D,some high school,standard,none,86,80,75,,0.928994247
female,group B,associate's degree,standard,completed,52,66,73,,0.462314163
female,group E,master's degree,free/reduced,none,45,56,54,,0.295998019
female,group C,some college,standard,none,72,72,71,,0.256025701
male,group D,high school,standard,none,57,50,54,,0.531536842
male,group A,some high school,free/reduced,none,68,72,64,,0.208544007
female,group C,some college,standard,completed,88,95,94,,0.568938386
male,group D,some college,standard,none,76,64,66,,0.238782772
male,group C,associate's degree,standard,none,46,43,42,,0.869498204
female,group B,bachelor's degree,standard,none,67,86,83,,0.822430164
male,group E,some high school,standard,none,92,87,78,,0.401463749
male,group C,bachelor's degree,standard,completed,83,82,84,,0.186117655
male,group D,associate's degree,standard,none,80,75,77,,0.495625079
male,group D,bachelor's degree,free/reduced,none,63,66,67,,0.172758977
female,group D,some high school,standard,completed,64,60,74,,0.515532751
male,group B,some college,standard,none,54,52,51,,0.445550745
male,group C,associate's degree,standard,none,84,80,80,,0.990559366
male,group D,high school,free/reduced,completed,73,68,66,,0.690691545
female,group E,bachelor's degree,standard,none,80,83,83,,0.155541992
female,group D,high school,standard,none,56,52,55,,0.593829906
male,group E,some college,standard,none,59,51,43,,0.960444623
male,group D,some high school,standard,none,75,74,69,,0.168357552
male,group C,associate's degree,standard,none,85,76,71,,0.911376104
male,group E,associate's degree,standard,none,89,76,74,,0.317392227
female,group B,high school,standard,completed,58,70,68,,0.680940754
female,group B,high school,standard,none,65,64,62,,0.354572896
male,group C,high school,standard,none,68,60,53,,0.947063526
male,group A,some high school,standard,completed,47,49,49,,0.604154704
female,group D,some college,free/reduced,none,71,83,83,,0.696302918
female,group B,some high school,standard,completed,60,70,70,,0.627537613
male,group D,master's degree,standard,none,80,80,72,,0.819615131
male,group D,high school,standard,none,54,52,52,,0.975030194
female,group E,some college,standard,none,62,73,70,,0.188079279
female,group C,associate's degree,free/reduced,none,64,73,68,,0.437026872
male,group C,associate's degree,standard,completed,78,77,77,,0.327820421
female,group B,some college,standard,none,70,75,78,,0.87427983
female,group C,master's degree,free/reduced,completed,65,81,81,,0.132597202
female,group C,some high school,free/reduced,completed,64,79,77,,0.701507758
male,group C,some college,standard,completed,79,79,78,,0.498210512
female,group C,some high school,free/reduced,none,44,50,51,,0.524839264
female,group E,high school,standard,none,99,93,90,,0.589859193
male,group D,high school,standard,none,76,73,68,,0.228830183
male,group D,some high school,free/reduced,none,59,42,41,,0.8270899
female,group C,bachelor's degree,standard,none,63,75,81,,0.63682969
female,group D,high school,standard,none,69,72,77,,0.860525957
female,group D,associate's degree,standard,completed,88,92,95,,0.231616796
female,group E,some college,free/reduced,none,71,76,70,,0.505529691
male,group C,bachelor's degree,standard,none,69,63,61,,0.269810941
male,group C,some college,standard,none,58,49,42,,0.975280568
female,group D,associate's degree,free/reduced,none,47,53,58,,0.146683982
female,group D,some college,standard,none,65,70,71,,0.860632178
male,group B,some college,standard,completed,88,85,76,,0.490215379
male,group C,bachelor's degree,standard,none,83,78,73,,0.630552369
female,group C,some high school,standard,completed,85,92,93,,0.512479043
female,group E,high school,standard,completed,59,63,75,,0.884604979
female,group C,some high school,free/reduced,none,65,86,80,,0.674893006
male,group B,bachelor's degree,free/reduced,none,73,56,57,,0.579187621
male,group D,high school,standard,none,53,52,42,,0.606086094
male,group D,high school,standard,none,45,48,46,,0.654004908
female,group D,bachelor's degree,free/reduced,none,73,79,84,,0.052502297
female,group D,some college,free/reduced,completed,70,78,78,,0.086567648
female,group B,some high school,standard,none,37,46,46,,0.392836385
male,group B,associate's degree,standard,completed,81,82,82,,0.001087874
male,group E,associate's degree,standard,completed,97,82,88,,0.646679028
female,group B,some high school,standard,none,67,89,82,,0.981470347
male,group B,bachelor's degree,free/reduced,none,88,75,76,,0.477831276
male,group E,some high school,standard,completed,77,76,77,,0.490159566
male,group C,associate's degree,standard,none,76,70,68,,0.12156359
male,group D,some high school,standard,none,86,73,70,,0.703889567
male,group C,some high school,standard,completed,63,60,57,,0.194978538
female,group E,bachelor's degree,standard,none,65,73,75,,0.486949982
male,group D,high school,free/reduced,completed,78,77,80,,0.894164444
male,group B,associate's degree,free/reduced,none,67,62,60,,0.112286173
male,group A,some high school,standard,completed,46,41,43,,0.149100529
male,group E,associate's degree,standard,completed,71,74,68,,0.333126889
male,group C,high school,free/reduced,completed,40,46,50,,0.868290515
male,group D,associate's degree,free/reduced,none,90,87,75,,0.150154544
male,group A,some college,free/reduced,completed,81,78,81,,0.09791355
male,group D,some high school,free/reduced,none,56,54,52,,0.532898973
female,group C,associate's degree,standard,completed,67,84,81,,0.572312568
male,group B,associate's degree,standard,none,80,76,64,,0.527355478
female,group C,associate's degree,standard,completed,74,75,83,,0.311133686
male,group A,some college,standard,none,69,67,69,,0.025022206
male,group E,some college,standard,completed,99,87,81,,0.320914295
male,group C,some high school,standard,none,51,52,44,,0.054868703
female,group B,associate's degree,free/reduced,none,53,71,67,,0.939956484
female,group D,high school,free/reduced,none,49,57,52,,0.907435473
female,group B,associate's degree,standard,none,73,76,80,,0.81436727
male,group B,bachelor's degree,standard,none,66,60,57,,0.565268979
male,group D,bachelor's degree,standard,completed,67,61,68,,0.23433098
female,group C,associate's degree,free/reduced,completed,68,67,69,,0.580490818
female,group C,bachelor's degree,standard,completed,59,64,75,,0.024879235
male,group C,high school,standard,none,71,66,65,,0.458071595
female,group D,master's degree,standard,completed,77,82,91,,0.543721122
male,group C,associate's degree,standard,none,83,72,78,,0.65388253
male,group B,bachelor's degree,standard,none,63,71,69,,0.880803751
female,group D,associate's degree,free/reduced,none,56,65,63,,0.202563478
female,group C,high school,free/reduced,completed,67,79,84,,0.952645999
female,group E,high school,standard,none,75,86,79,,0.08875249
female,group C,some college,standard,none,71,81,80,,0.979021458
female,group C,some high school,free/reduced,none,43,53,53,,0.338717496
female,group C,high school,free/reduced,none,41,46,43,,0.500738447
female,group C,some college,standard,none,82,90,94,,0.98741298
male,group C,some college,standard,none,61,61,62,,0.446414128
male,group A,some college,free/reduced,none,28,23,19,,0.751327937
male,group C,associate's degree,standard,completed,82,75,77,,0.827981448
female,group B,some high school,standard,none,41,55,51,,0.942839414
male,group C,high school,standard,none,71,60,61,,0.813487604
male,group C,associate's degree,standard,none,47,37,35,,0.873173163
male,group E,associate's degree,standard,completed,62,56,53,,0.806945957
male,group B,associate's degree,standard,none,90,78,81,,0.982944617
female,group C,bachelor's degree,standard,none,83,93,95,,0.009951028
female,group B,some college,free/reduced,none,61,68,66,,0.44374448
male,group D,some high school,standard,completed,76,70,69,,0.356808859
male,group C,associate's degree,standard,none,49,51,43,,0.224850938
female,group B,some high school,free/reduced,none,24,38,27,,0.930270578
female,group D,some high school,free/reduced,completed,35,55,60,,0.753733632
male,group C,high school,free/reduced,none,58,61,52,,0.931851061
female,group C,high school,standard,none,61,73,63,,0.912994694
female,group B,high school,standard,completed,69,76,74,,0.50488468
male,group D,associate's degree,standard,completed,67,72,67,,0.895585083
male,group D,some college,standard,none,79,73,67,,0.140323703
female,group C,high school,standard,none,72,80,75,,0.377446424
male,group B,some college,standard,none,62,61,57,,0.54306953
female,group C,bachelor's degree,standard,completed,77,94,95,,0.717691971
male,group D,high school,free/reduced,none,75,74,66,,0.800308104
male,group E,associate's degree,standard,none,87,74,76,,0.854657433
female,group B,bachelor's degree,standard,none,52,65,69,,0.721032289
male,group E,some college,standard,none,66,57,52,,0.028700883
female,group C,some college,standard,completed,63,78,80,,0.143254249
female,group C,associate's degree,standard,none,46,58,57,,0.773660042
female,group C,some college,standard,none,59,71,70,,0.3386403
female,group B,bachelor's degree,standard,none,61,72,70,,0.941303895
male,group A,associate's degree,standard,none,63,61,61,,0.790719123
female,group C,some college,free/reduced,completed,42,66,69,,0.927384017
male,group D,some college,free/reduced,none,59,62,61,,0.45616073
female,group D,some college,standard,none,80,90,89,,0.682407199
female,group B,high school,standard,none,58,62,59,,0.095678437
male,group B,some high school,standard,completed,85,84,78,,0.446862691
female,group C,some college,standard,none,52,58,58,,0.486212197
female,group D,some high school,free/reduced,none,27,34,32,,0.41419059
male,group C,some college,standard,none,59,60,58,,0.051887465
male,group A,bachelor's degree,free/reduced,completed,49,58,60,,0.834946309
male,group C,high school,standard,completed,69,58,53,,0.933248092
male,group C,bachelor's degree,free/reduced,none,61,66,61,,0.825057597
female,group A,some high school,free/reduced,none,44,64,58,,0.216917131
female,group D,some high school,standard,none,73,84,85,,0.374763217
male,group E,some college,standard,none,84,77,71,,0.993088342
female,group C,some college,free/reduced,completed,45,73,70,,0.545104316
male,group D,some high school,standard,none,74,74,72,,0.19733468
female,group D,some college,standard,completed,82,97,96,,0.66113997
female,group D,bachelor's degree,standard,none,59,70,73,,0.701348586
male,group E,associate's degree,free/reduced,none,46,43,41,,0.755832978
female,group D,some high school,standard,none,80,90,82,,0.227572578
female,group D,master's degree,free/reduced,completed,85,95,100,,0.065664754
female,group A,some high school,standard,none,71,83,77,,0.750486335
male,group A,bachelor's degree,standard,none,66,64,62,,0.29236933
female,group B,associate's degree,standard,none,80,86,83,,0.473818764
male,group C,associate's degree,standard,completed,87,100,95,,0.356063102
male,group C,master's degree,free/reduced,none,79,81,71,,0.911378022
female,group E,some high school,free/reduced,none,38,49,45,,0.326185844
female,group A,some high school,free/reduced,none,38,43,43,,0.180701562
female,group E,some college,standard,none,67,76,75,,0.642786673
female,group E,bachelor's degree,standard,none,64,73,70,,0.498492227
female,group C,associate's degree,free/reduced,none,57,78,67,,0.613716552
female,group D,high school,standard,none,62,64,64,,0.469640093
male,group D,master's degree,standard,none,73,70,75,,0.722083351
male,group E,some high school,free/reduced,completed,73,67,59,,0.576483814
female,group D,some college,standard,none,77,68,77,,0.958612601
male,group E,some college,standard,none,76,67,67,,0.98805977
male,group C,associate's degree,standard,completed,57,54,56,,0.363687076
female,group C,some high school,standard,completed,65,74,77,,0.797456921
male,group A,high school,free/reduced,none,48,45,41,,0.469590786
female,group B,high school,free/reduced,none,50,67,63,,0.165241902
female,group C,associate's degree,standard,none,85,89,95,,0.308366419
male,group B,some high school,standard,none,74,63,57,,0.347931023
male,group D,some high school,standard,none,60,59,54,,0.607035226
female,group C,some high school,standard,completed,59,54,67,,0.7961272
male,group A,some college,standard,none,53,43,43,,0.145486386
female,group A,some college,free/reduced,none,49,65,55,,0.754658774
female,group D,high school,standard,completed,88,99,100,,0.623869276
female,group C,high school,standard,none,54,59,62,,0.238744991
female,group C,some high school,standard,none,63,73,68,,0.66158754
male,group B,associate's degree,standard,completed,65,65,63,,0.008137492
female,group B,associate's degree,standard,none,82,80,77,,0.030472421
female,group D,high school,free/reduced,completed,52,57,56,,0.236455991
male,group D,associate's degree,standard,completed,87,84,85,,0.479316347
female,group D,master's degree,standard,completed,70,71,74,,0.311632089
male,group E,some college,standard,completed,84,83,78,,0.955346905
male,group D,associate's degree,standard,none,71,66,60,,0.185664481
male,group B,some high school,standard,completed,63,67,67,,0.946376447
female,group C,bachelor's degree,free/reduced,completed,51,72,79,,0.554642854
male,group E,high school,standard,none,84,73,69,,0.290803763
male,group C,bachelor's degree,standard,completed,71,74,68,,0.329123103
male,group C,associate's degree,standard,none,74,73,67,,0.015907133
male,group D,some college,standard,none,68,59,62,,0.479554182
male,group E,high school,free/reduced,completed,57,56,54,,0.772019688
female,group C,associate's degree,free/reduced,completed,82,93,93,,0.991459155
female,group D,high school,standard,completed,57,58,64,,0.197222684
female,group D,master's degree,free/reduced,completed,47,58,67,,0.285767616
female,group A,some high school,standard,completed,59,85,80,,0.847934825
male,group B,some college,free/reduced,none,41,39,34,,0.621259405
female,group C,some college,free/reduced,none,62,67,62,,0.844068046
male,group C,bachelor's degree,standard,none,86,83,86,,0.615792647
male,group C,some high school,free/reduced,none,69,71,65,,0.378818416
male,group A,some high school,free/reduced,none,65,59,53,,0.974408443
male,group C,some high school,free/reduced,none,68,63,54,,0.685050904
male,group C,associate's degree,free/reduced,none,64,66,59,,0.673616047
female,group C,high school,standard,none,61,72,70,,0.788292018
male,group C,high school,standard,none,61,56,55,,0.724591667
female,group A,some high school,free/reduced,none,47,59,50,,0.651801
male,group C,some high school,standard,none,73,66,66,,0.797356854
male,group C,some college,free/reduced,completed,50,48,53,,0.732481584
male,group D,associate's degree,standard,none,75,68,64,,0.451763922
male,group D,associate's degree,free/reduced,none,75,66,73,,0.261760474
male,group C,high school,standard,none,70,56,51,,0.157962531
male,group D,some high school,standard,completed,89,88,82,,0.704130488
female,group C,some college,standard,completed,67,81,79,,0.422512871
female,group D,high school,standard,none,78,81,80,,0.51163899
female,group A,some high school,free/reduced,none,59,73,69,,0.066563222
female,group B,associate's degree,standard,none,73,83,76,,0.887634421
male,group A,some high school,free/reduced,none,79,82,73,,0.854297902
female,group C,some high school,standard,completed,67,74,77,,0.321029473
male,group D,some college,free/reduced,none,69,66,60,,0.843201137
male,group C,high school,standard,completed,86,81,80,,0.958372746
male,group B,high school,standard,none,47,46,42,,0.252740117
male,group B,associate's degree,standard,none,81,73,72,,0.443521885
female,group C,some college,free/reduced,completed,64,85,85,,0.156471307
female,group E,some college,standard,none,100,92,97,,0.242728889
female,group C,associate's degree,free/reduced,none,65,77,74,,0.548943268
male,group C,some college,free/reduced,none,65,58,49,,0.461286813
female,group C,associate's degree,free/reduced,none,53,61,62,,0.507329846
male,group C,bachelor's degree,free/reduced,none,37,56,47,,0.715700917
female,group D,bachelor's degree,standard,none,79,89,89,,0.079859588
male,group D,associate's degree,free/reduced,none,53,54,48,,0.925197052
female,group E,bachelor's degree,standard,none,100,100,100,,0.957258772
male,group B,high school,standard,completed,72,65,68,,0.656426216
male,group C,bachelor's degree,free/reduced,none,53,58,55,,0.276370017
male,group B,some college,free/reduced,none,54,54,45,,0.616410627
female,group E,some college,standard,none,71,70,76,,0.567838204
female,group C,some college,free/reduced,none,77,90,91,,0.366045438
male,group A,bachelor's degree,standard,completed,75,58,62,,0.563217849
female,group C,some college,standard,none,84,87,91,,0.150904827
female,group D,associate's degree,free/reduced,none,26,31,38,,0.916523323
male,group A,high school,free/reduced,completed,72,67,65,,0.781232775
female,group A,high school,free/reduced,completed,77,88,85,,0.619327269
male,group C,some college,standard,none,91,74,76,,0.188634097
female,group C,associate's degree,standard,completed,83,85,90,,0.6530718
female,group C,high school,standard,none,63,69,74,,0.397223404
female,group C,associate's degree,standard,completed,68,86,84,,0.860101593
female,group D,some high school,standard,none,59,67,61,,0.273376044
female,group B,associate's degree,standard,completed,90,90,91,,0.062953543
female,group D,bachelor's degree,standard,completed,71,76,83,,0.842583501
male,group E,bachelor's degree,standard,completed,76,62,66,,0.472395271
male,group D,associate's degree,standard,none,80,68,72,,0.0140567
female,group D,master's degree,standard,none,55,64,70,,0.438384537
